country	date	category	type	confirmed	probable	suspected	total	label
Spain	2014-10-25	cases	2014-10-25-cases	1	0	0	1	Spain-cases-2014-10-25
Mali	2015-01-27	deaths	2015-01-27-deaths	0	0	0	6	Mali-deaths-2015-01-27
Guinea	2014-09-16	cases	2014-09-16-cases	743	162	31	64	Guinea-cases-2014-09-16
Sierra Leone	2014-09-08	deaths	2014-09-08-deaths	461	30	11	55	Sierra Leone-deaths-2014-09-08
Nigeria	2015-02-25	deaths	2015-02-25-deaths	7	1	0	8	Nigeria-deaths-2015-02-25
Spain	2015-01-26	cases	2015-01-26-cases	1	0	0	1	Spain-cases-2015-01-26
Liberia	2014-10-29	cases	2014-10-29-cases	2515	1540	2480	6535	Liberia-cases-2014-10-29
Senegal	2014-11-07	deaths	2014-11-07-deaths	0	0	0	0	Senegal-deaths-2014-11-07
Senegal	2015-02-25	deaths	2015-02-25-deaths	0	0	0	0	Senegal-deaths-2015-02-25
United States of America	2014-12-23	cases	2014-12-23-cases	4	0	0	4	United States of America-cases-2014-12-23
Mali	2015-02-20	deaths	2015-02-20-deaths	0	0	0	6	Mali-deaths-2015-02-20
Spain	2014-12-26	deaths	2014-12-26-deaths	0	0	0	0	Spain-deaths-2014-12-26
Guinea	2015-02-03	cases	2015-02-03-cases	2608	347	20	2975	Guinea-cases-2015-02-03
Sierra Leone	2014-12-26	cases	2014-12-26-cases	7160	287	1756	9203	Sierra Leone-cases-2014-12-26
Senegal	2015-01-28	deaths	2015-01-28-deaths	0	0	0	0	Senegal-deaths-2015-01-28
Liberia	2014-11-26	cases	2014-11-26-cases	2727	1754	2687	7168	Liberia-cases-2014-11-26
Nigeria	2015-02-27	cases	2015-02-27-cases	19	1	0	20	Nigeria-cases-2015-02-27
Senegal	2015-01-22	deaths	2015-01-22-deaths	0	0	0	0	Senegal-deaths-2015-01-22
Nigeria	2014-10-08	cases	2014-10-08-cases	19	1	0	20	Nigeria-cases-2014-10-08
Senegal	2014-10-22	cases	2014-10-22-cases	1	0	0	1	Senegal-cases-2014-10-22
Mali	2014-12-29	deaths	2014-12-29-deaths	0	0	0	6	Mali-deaths-2014-12-29
Nigeria	2015-02-20	cases	2015-02-20-cases	19	1	0	20	Nigeria-cases-2015-02-20
Senegal	2014-09-16	cases	2014-09-16-cases	1	0	0	0	Senegal-cases-2014-09-16
Liberia	2015-01-02	deaths	2015-01-02-deaths	0	0	0	3423	Liberia-deaths-2015-01-02
Sierra Leone	2015-01-16	cases	2015-01-16-cases	7825	287	2074	10186	Sierra Leone-cases-2015-01-16
Nigeria	2014-12-03	cases	2014-12-03-cases	19	1	0	20	Nigeria-cases-2014-12-03
Sierra Leone	2015-01-22	cases	2015-01-22-cases	7909	287	2166	10362	Sierra Leone-cases-2015-01-22
United Kingdom	2015-01-29	deaths	2015-01-29-deaths	0	0	0	0	United Kingdom-deaths-2015-01-29
Senegal	2015-02-02	cases	2015-02-02-cases	1	0	0	1	Senegal-cases-2015-02-02
Guinea	2014-08-29	cases	2014-08-29-cases	482	141	25	66	Guinea-cases-2014-08-29
Guinea	2015-01-29	deaths	2015-01-29-deaths	1579	332	0	1911	Guinea-deaths-2015-01-29
Sierra Leone	2015-01-19	cases	2015-01-19-cases	7883	287	2136	10306	Sierra Leone-cases-2015-01-19
Guinea	2014-11-14	deaths	2014-11-14-deaths	958	208	0	1166	Guinea-deaths-2014-11-14
Liberia	2014-12-17	deaths	2014-12-17-deaths	0	185	0	3290	Liberia-deaths-2014-12-17
Spain	2015-02-06	deaths	2015-02-06-deaths	0	0	0	0	Spain-deaths-2015-02-06
Mali	2015-01-02	deaths	2015-01-02-deaths	0	0	0	6	Mali-deaths-2015-01-02
Liberia	2014-10-08	cases	2014-10-08-cases	941	1795	1188	3924	Liberia-cases-2014-10-08
Nigeria	2015-02-16	cases	2015-02-16-cases	19	1	0	20	Nigeria-cases-2015-02-16
Guinea	2015-02-16	cases	2015-02-16-cases	2720	374	7	3101	Guinea-cases-2015-02-16
Sierra Leone	2015-02-16	deaths	2015-02-16-deaths	3035	208	158	3401	Sierra Leone-deaths-2015-02-16
Senegal	2015-01-14	cases	2015-01-14-cases	1	0	0	1	Senegal-cases-2015-01-14
Sierra Leone	2015-01-30	cases	2015-01-30-cases	7989	287	2285	10561	Sierra Leone-cases-2015-01-30
United States of America	2014-12-24	cases	2014-12-24-cases	4	0	0	4	United States of America-cases-2014-12-24
United Kingdom	2015-01-26	cases	2015-01-26-cases	1	0	0	1	United Kingdom-cases-2015-01-26
United States of America	2015-01-28	deaths	2015-01-28-deaths	1	0	0	1	United States of America-deaths-2015-01-28
Mali	2015-02-27	deaths	2015-02-27-deaths	0	0	0	6	Mali-deaths-2015-02-27
United Kingdom	2015-01-07	cases	2015-01-07-cases	1	0	0	1	United Kingdom-cases-2015-01-07
United States of America	2014-10-03	deaths	2014-10-03-deaths	0	0	0	0	United States of America-deaths-2014-10-03
Spain	2015-01-14	deaths	2015-01-14-deaths	0	0	0	0	Spain-deaths-2015-01-14
Nigeria	2014-12-03	deaths	2014-12-03-deaths	7	1	0	8	Nigeria-deaths-2014-12-03
Liberia	2015-03-02	deaths	2015-03-02-deaths	0	0	0	4057	Liberia-deaths-2015-03-02
Nigeria	2015-03-06	deaths	2015-03-06-deaths	7	1	0	8	Nigeria-deaths-2015-03-06
Nigeria	2014-12-17	cases	2014-12-17-cases	19	1	0	20	Nigeria-cases-2014-12-17
Spain	2014-12-10	deaths	2014-12-10-deaths	0	0	0	0	Spain-deaths-2014-12-10
Liberia	2015-02-10	deaths	2015-02-10-deaths	3826	0	0	3826	Liberia-deaths-2015-02-10
Guinea	2014-10-29	cases	2014-10-29-cases	1391	199	316	1906	Guinea-cases-2014-10-29
